,person,offer_id,offer received,offer viewed,offer completed,transaction,reward,amount,difficulty,email,mobile,social,web,bogo,discount,informational
0,0,4.0,1,1,1,3,3.0,7.54,7,1,1,1,1,0,1,0
1,0,7.0,2,2,1,2,2.0,2.63,10,2,2,2,2,0,1,0
2,0,8.0,1,1,0,0,0.0,0.0,10,1,1,0,1,0,1,0
3,0,9.0,1,1,0,1,0.0,0.35000000000000003,20,1,0,0,1,0,1,0
4,1,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
5,1,2.0,1,0,1,0,5.0,0.0,5,1,1,0,1,1,0,0
6,2,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
7,2,2.0,1,1,0,0,0.0,0.0,5,1,1,0,1,1,0,0
8,3,1.0,1,1,0,2,0.0,49.39,0,1,1,1,0,0,0,1
9,3,2.0,1,1,1,1,5.0,19.89,5,1,1,0,1,1,0,0
10,3,3.0,1,1,1,0,5.0,0.0,5,1,1,1,1,1,0,0
11,3,5.0,1,1,1,0,10.0,0.0,10,1,1,1,0,1,0,0
12,4,0.0,1,1,0,0,0.0,0.0,0,1,1,0,1,0,0,1
13,4,1.0,1,0,0,0,0.0,0.0,0,1,1,1,0,0,0,1
14,4,9.0,3,2,0,1,0.0,1.09,20,3,0,0,3,0,1,0
15,5,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
16,5,2.0,1,1,1,0,5.0,0.0,5,1,1,0,1,1,0,0
17,5,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
18,5,8.0,1,1,0,0,0.0,0.0,10,1,1,0,1,0,1,0
19,6,0.0,1,1,0,0,0.0,0.0,0,1,1,0,1,0,0,1
20,6,6.0,1,1,0,0,0.0,0.0,10,1,1,1,1,1,0,0
21,6,7.0,2,2,0,0,0.0,0.0,10,2,2,2,2,0,1,0
22,6,8.0,1,1,0,0,0.0,0.0,10,1,1,0,1,0,1,0
23,7,2.0,1,1,0,0,0.0,0.0,5,1,1,0,1,1,0,0
24,7,4.0,1,1,0,1,0.0,0.19,7,1,1,1,1,0,1,0
25,7,5.0,1,0,0,0,0.0,0.0,10,1,1,1,0,1,0,0
26,7,6.0,1,1,0,0,0.0,0.0,10,1,1,1,1,1,0,0
27,7,8.0,1,1,0,0,0.0,0.0,10,1,1,0,1,0,1,0
28,8,2.0,2,2,1,1,5.0,15.63,5,2,2,0,2,1,0,0
29,8,3.0,2,2,2,1,10.0,9.54,5,2,2,2,2,1,0,0
30,8,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
31,8,8.0,1,1,1,0,2.0,0.0,10,1,1,0,1,0,1,0
32,9,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
33,9,2.0,1,0,1,0,5.0,0.0,5,1,1,0,1,1,0,0
34,9,3.0,1,1,0,0,0.0,0.0,5,1,1,1,1,1,0,0
35,9,6.0,1,1,0,2,0.0,7.75,10,1,1,1,1,1,0,0
36,10,4.0,2,2,0,5,0.0,6.4,7,2,2,2,2,0,1,0
37,10,5.0,1,1,1,0,10.0,0.0,10,1,1,1,0,1,0,0
38,11,3.0,1,1,0,2,0.0,3.24,5,1,1,1,1,1,0,0
39,11,4.0,2,2,1,1,3.0,5.79,7,2,2,2,2,0,1,0
40,11,5.0,1,1,0,0,0.0,0.0,10,1,1,1,0,1,0,0
41,12,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
42,12,4.0,1,1,0,1,0.0,2.32,7,1,1,1,1,0,1,0
43,12,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
44,13,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
45,13,3.0,1,1,1,0,5.0,0.0,5,1,1,1,1,1,0,0
46,13,5.0,1,1,1,0,10.0,0.0,10,1,1,1,0,1,0,0
47,13,6.0,1,1,1,1,10.0,12.33,10,1,1,1,1,1,0,0
48,13,9.0,1,1,0,0,0.0,0.0,20,1,0,0,1,0,1,0
49,14,5.0,1,1,0,3,0.0,21.619999999999997,10,1,1,1,0,1,0,0
50,14,8.0,2,0,0,0,0.0,0.0,10,2,2,0,2,0,1,0
51,14,9.0,3,0,1,0,5.0,0.0,20,3,0,0,3,0,1,0
52,15,4.0,3,2,3,2,9.0,27.58,7,3,3,3,3,0,1,0
53,15,7.0,2,2,1,1,2.0,24.87,10,2,2,2,2,0,1,0
54,15,9.0,1,1,0,0,0.0,0.0,20,1,0,0,1,0,1,0
55,16,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
56,16,5.0,1,1,1,4,10.0,126.19,10,1,1,1,0,1,0,0
57,16,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
58,17,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
59,17,4.0,1,1,0,0,0.0,0.0,7,1,1,1,1,0,1,0
60,17,5.0,1,1,0,1,0.0,0.55,10,1,1,1,0,1,0,0
61,17,6.0,1,1,0,0,0.0,0.0,10,1,1,1,1,1,0,0
62,17,9.0,1,1,0,1,0.0,0.12,20,1,0,0,1,0,1,0
63,18,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
64,18,2.0,2,0,1,0,5.0,0.0,5,2,2,0,2,1,0,0
65,18,4.0,1,1,1,1,3.0,1.1400000000000001,7,1,1,1,1,0,1,0
66,18,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
67,19,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
68,19,2.0,1,0,0,0,0.0,0.0,5,1,1,0,1,1,0,0
69,19,5.0,1,1,0,3,0.0,5.74,10,1,1,1,0,1,0,0
70,20,4.0,3,3,3,3,9.0,43.21,7,3,3,3,3,0,1,0
71,20,8.0,1,0,1,0,2.0,0.0,10,1,1,0,1,0,1,0
72,20,9.0,1,1,1,0,5.0,0.0,20,1,0,0,1,0,1,0
73,21,0.0,1,1,0,1,0.0,30.0,0,1,1,0,1,0,0,1
74,21,5.0,2,2,1,0,10.0,0.0,10,2,2,2,0,1,0,0
75,21,9.0,2,1,2,1,10.0,32.31,20,2,0,0,2,0,1,0
76,22,0.0,2,2,0,3,0.0,55.14,0,2,2,0,2,0,0,1
77,22,1.0,2,2,0,1,0.0,25.27,0,2,2,2,0,0,0,1
78,22,6.0,1,1,0,0,0.0,0.0,10,1,1,1,1,1,0,0
79,22,7.0,1,1,1,1,2.0,13.32,10,1,1,1,1,0,1,0
80,23,0.0,1,1,0,1,0.0,2.31,0,1,1,0,1,0,0,1
81,23,4.0,1,1,0,0,0.0,0.0,7,1,1,1,1,0,1,0
82,23,6.0,1,1,0,0,0.0,0.0,10,1,1,1,1,1,0,0
83,23,9.0,2,2,0,0,0.0,0.0,20,2,0,0,2,0,1,0
84,24,0.0,1,1,0,0,0.0,0.0,0,1,1,0,1,0,0,1
85,24,6.0,1,1,1,1,10.0,12.94,10,1,1,1,1,1,0,0
86,24,7.0,2,2,2,2,4.0,46.51,10,2,2,2,2,0,1,0
87,25,2.0,2,2,0,0,0.0,0.0,5,2,2,0,2,1,0,0
88,25,6.0,1,1,1,1,10.0,28.48,10,1,1,1,1,1,0,0
89,25,8.0,1,1,1,1,2.0,27.23,10,1,1,0,1,0,1,0
90,25,9.0,2,2,2,1,10.0,19.91,20,2,0,0,2,0,1,0
91,26,2.0,1,1,0,4,0.0,11.240000000000002,5,1,1,0,1,1,0,0
92,26,5.0,1,1,0,4,0.0,5.59,10,1,1,1,0,1,0,0
