,person,offer_id,offer received,offer viewed,offer completed,transaction,reward,amount
0,0,4.0,1,1,1,3,3.0,7.54
1,0,7.0,2,2,1,2,2.0,2.63
2,0,8.0,1,1,0,0,0.0,0.0
3,0,9.0,1,1,0,1,0.0,0.35000000000000003
4,1,0.0,1,0,0,0,0.0,0.0
5,1,2.0,1,0,1,0,5.0,0.0
6,2,1.0,1,1,0,0,0.0,0.0
7,2,2.0,1,1,0,0,0.0,0.0
8,3,1.0,1,1,0,2,0.0,49.39
9,3,2.0,1,1,1,1,5.0,19.89
10,3,3.0,1,1,1,0,5.0,0.0
11,3,5.0,1,1,1,0,10.0,0.0
12,4,0.0,1,1,0,0,0.0,0.0
13,4,1.0,1,0,0,0,0.0,0.0
14,4,9.0,3,2,0,1,0.0,1.09
15,5,0.0,1,0,0,0,0.0,0.0
16,5,2.0,1,1,1,0,5.0,0.0
17,5,7.0,1,1,1,0,2.0,0.0
18,5,8.0,1,1,0,0,0.0,0.0
19,6,0.0,1,1,0,0,0.0,0.0
20,6,6.0,1,1,0,0,0.0,0.0
21,6,7.0,2,2,0,0,0.0,0.0
22,6,8.0,1,1,0,0,0.0,0.0
23,7,2.0,1,1,0,0,0.0,0.0
24,7,4.0,1,1,0,1,0.0,0.19
25,7,5.0,1,0,0,0,0.0,0.0
26,7,6.0,1,1,0,0,0.0,0.0
27,7,8.0,1,1,0,0,0.0,0.0
28,8,2.0,2,2,1,1,5.0,15.63
29,8,3.0,2,2,2,1,10.0,9.54
30,8,7.0,1,1,1,0,2.0,0.0
31,8,8.0,1,1,1,0,2.0,0.0
32,9,1.0,1,1,0,0,0.0,0.0
33,9,2.0,1,0,1,0,5.0,0.0
34,9,3.0,1,1,0,0,0.0,0.0
35,9,6.0,1,1,0,2,0.0,7.75
36,10,4.0,2,2,0,5,0.0,6.4
37,10,5.0,1,1,1,0,10.0,0.0
38,11,3.0,1,1,0,2,0.0,3.24
39,11,4.0,2,2,1,1,3.0,5.79
40,11,5.0,1,1,0,0,0.0,0.0
41,12,0.0,1,0,0,0,0.0,0.0
42,12,4.0,1,1,0,1,0.0,2.32
43,12,7.0,1,1,1,0,2.0,0.0
44,13,1.0,1,1,0,0,0.0,0.0
45,13,3.0,1,1,1,0,5.0,0.0
46,13,5.0,1,1,1,0,10.0,0.0
47,13,6.0,1,1,1,1,10.0,12.33
48,13,9.0,1,1,0,0,0.0,0.0
49,14,5.0,1,1,0,3,0.0,21.619999999999997
50,14,8.0,2,0,0,0,0.0,0.0
51,14,9.0,3,0,1,0,5.0,0.0
52,15,4.0,3,2,3,2,9.0,27.58
53,15,7.0,2,2,1,1,2.0,24.87
54,15,9.0,1,1,0,0,0.0,0.0
55,16,1.0,1,1,0,0,0.0,0.0
56,16,5.0,1,1,1,4,10.0,126.19
57,16,9.0,1,0,0,0,0.0,0.0
58,17,1.0,1,1,0,0,0.0,0.0
59,17,4.0,1,1,0,0,0.0,0.0
60,17,5.0,1,1,0,1,0.0,0.55
61,17,6.0,1,1,0,0,0.0,0.0
62,17,9.0,1,1,0,1,0.0,0.12
63,18,0.0,1,0,0,0,0.0,0.0
64,18,2.0,2,0,1,0,5.0,0.0
65,18,4.0,1,1,1,1,3.0,1.1400000000000001
66,18,9.0,1,0,0,0,0.0,0.0
67,19,1.0,1,1,0,0,0.0,0.0
68,19,2.0,1,0,0,0,0.0,0.0
69,19,5.0,1,1,0,3,0.0,5.74
70,20,4.0,3,3,3,3,9.0,43.21
