,person,offer received,offer viewed,offer completed,transaction,reward_infl,amount_infl,email,mobile,social,web,bogo,discount,informational,avg_difficulty,time_to_open,time_to_complete,total_amount,amount_pct,age,gender,income,seen_ratio,completed_ratio
0,0,5,5,2,6,5.0,10.52,5,4,3,5,0,4,0,12.0,0.08392857142857142,0.2857142857142857,20.4,0.515686274509804,,2,,1.0,0.4
1,1,2,0,1,0,5.0,0.0,2,2,0,2,1,0,1,2.0,1.0,1.0,77.01,0.0,55.0,0,112000.0,0.0,0.5
2,2,2,2,0,0,0.0,0.0,2,2,1,1,1,0,1,2.0,0.0,1.0,14.3,0.0,,2,,1.0,0.0
3,3,4,4,3,3,20.0,69.28,4,4,3,2,3,0,1,5.0,0.2341269841269841,0.7857142857142857,159.27,0.43498461731650656,75.0,0,100000.0,1.0,0.75
4,4,5,3,0,1,0.0,1.09,5,2,1,4,0,1,2,7.0,0.0125,1.0,4.6499999999999995,0.2344086021505377,,2,,0.6,0.0
5,5,4,3,2,0,7.0,0.0,4,4,1,4,1,2,1,6.0,0.08928571428571427,1.0,57.730000000000004,0.0,68.0,1,70000.0,0.75,0.5
6,6,5,5,0,0,0.0,0.0,5,5,3,5,1,2,1,8.0,0.27098214285714284,1.0,0.0,,,2,,1.0,0.0
7,7,5,4,0,1,0.0,0.19,5,5,3,4,3,2,0,8.0,0.30476190476190473,1.0,0.24,0.7916666666666667,,2,,0.8,0.0
8,8,6,6,5,2,19.0,25.17,6,6,3,6,2,2,0,8.0,0.08571428571428572,0.5178571428571428,36.43,0.6909140818007138,65.0,1,53000.0,1.0,0.8333333333333334
9,9,4,3,1,2,5.0,7.75,4,4,3,3,3,0,1,5.0,0.425,0.32142857142857145,15.620000000000001,0.4961587708066581,,2,,0.75,0.25
10,10,3,3,1,5,10.0,6.4,3,3,3,2,1,1,0,8.0,0.10714285714285714,1.0,66.41,0.09637102845956935,,2,,1.0,0.3333333333333333
11,11,4,4,1,3,3.0,9.030000000000001,4,4,4,3,2,1,0,7.0,0.0761904761904762,0.8571428571428571,17.11,0.527761542957335,,2,,1.0,0.25
12,12,3,2,1,1,2.0,2.32,3,3,2,3,0,2,1,6.0,0.0,1.0,15.62,0.14852752880921893,58.0,1,51000.0,0.6666666666666666,0.3333333333333333
13,13,5,5,3,1,25.0,12.33,5,4,4,3,3,1,1,9.0,0.054464285714285715,0.22857142857142856,85.55,0.1441262419637639,61.0,0,57000.0,1.0,0.6
14,14,6,1,1,3,5.0,21.619999999999997,6,3,1,5,1,2,0,13.0,0.03571428571428571,1.0,56.22,0.3845606545713269,26.0,1,46000.0,0.16666666666666666,0.16666666666666666
15,15,6,5,4,3,11.0,52.45,6,5,5,6,0,3,0,12.0,0.18303571428571427,0.23660714285714285,160.25,0.32730109204368174,62.0,0,71000.0,0.8333333333333334,0.6666666666666666
16,16,3,2,1,4,10.0,126.19,3,2,2,1,1,1,1,10.0,0.03571428571428571,0.4642857142857143,144.11000000000004,0.8756505447227809,49.0,1,52000.0,0.6666666666666666,0.3333333333333333
17,17,5,5,0,2,0.0,0.67,5,4,4,3,2,2,1,9.0,0.3410714285714286,1.0,3.9999999999999996,0.16750000000000004,,2,,1.0,0.0
18,18,5,1,2,1,8.0,1.1400000000000001,5,4,1,5,1,2,1,8.0,0.0,0.07142857142857142,19.1,0.05968586387434555,57.0,1,42000.0,0.2,0.4
19,19,3,2,0,3,0.0,5.74,3,3,2,1,2,0,1,5.0,0.17857142857142858,1.0,20.78,0.2762271414821944,61.0,0,40000.0,0.6666666666666666,0.0
20,20,5,4,5,3,16.0,43.21,5,4,3,5,0,3,0,12.0,0.18035714285714285,0.22946428571428573,300.68,0.1437075961154716,40.0,0,71000.0,0.8,1.0
21,21,5,4,3,2,20.0,62.31,5,3,2,3,1,1,1,10.0,0.41904761904761906,0.05,211.29000000000002,0.2949027403095272,64.0,1,100000.0,0.8,0.6
22,22,6,6,1,5,2.0,93.72999999999999,6,6,4,4,1,1,2,5.0,0.22916666666666666,0.025,155.45999999999998,0.6029203653672971,78.0,0,71000.0,1.0,0.16666666666666666
23,23,5,5,0,1,0.0,2.31,5,3,2,5,1,2,1,9.0,0.13526785714285716,1.0,9.82,0.23523421588594703,,2,,1.0,0.0
24,24,4,4,3,3,14.0,59.449999999999996,4,4,3,4,1,1,1,7.0,0.024999999999999998,0.3666666666666667,91.4,0.6504376367614879,42.0,1,69000.0,1.0,0.75
25,25,6,6,4,3,22.0,75.62,6,4,1,6,2,2,0,11.0,0.08071428571428571,0.09642857142857142,75.62,1.0,56.0,0,88000.0,1.0,0.6666666666666666
